business_status,geometry,name,place_id,rating,types,user_ratings_total,vicinity,permanently_closed,place_type
0,OPERATIONAL,"{'location': {'lat': 20.6911818, 'lng': -105.2804769}, 'viewport': {'northeast': {'lat': 20.6925106802915, 'lng': -105.2791783197085}, 'southwest': {'lat': 20.6898127197085, 'lng': -105.2818762802915}}}",Claudio's Place,ChIJMUwQD51GIYQRJgins7Zd2Vg,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",111.0,"Prol. Amado Nervo s/n, Jarretaderas, Bahía de Banderas",,restaurant
1,OPERATIONAL,"{'location': {'lat': 20.6938154, 'lng': -105.2798356}, 'viewport': {'northeast': {'lat': 20.6952639302915, 'lng': -105.2786622197085}, 'southwest': {'lat': 20.6925659697085, 'lng': -105.2813601802915}}}",The Blue Shrimp Nuevo Vallarta,ChIJPVj2k5xGIYQRhuGhW6K4srg,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",401.0,"Blvrd. Nayarit 208 Jarretaderas Jarretaderas, Nuevo Vallarta",,restaurant
2,OPERATIONAL,"{'location': {'lat': 20.6917245, 'lng': -105.2748159}, 'viewport': {'northeast': {'lat': 20.69299648029151, 'lng': -105.2735206197085}, 'southwest': {'lat': 20.6902985197085, 'lng': -105.2762185802915}}}",Quesos,ChIJyR1UOQtHIYQRjkhFEnVI5-4,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Avenida Emiliano Zapata Norte 360, Costa Coral, Las Jarretaderas",,restaurant
3,OPERATIONAL,"{'location': {'lat': 20.6919927, 'lng': -105.2743408}, 'viewport': {'northeast': {'lat': 20.6933014302915, 'lng': -105.2729625697085}, 'southwest': {'lat': 20.6906034697085, 'lng': -105.2756605302915}}}","Los Charales de Jarretaderas, Estilo Chileno",ChIJm9JDz1ZHIYQRQcr5yofPgYs,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Calle Miguel Hidalgo Puente 108, Costa Coral, Las Jarretaderas",,restaurant
4,OPERATIONAL,"{'location': {'lat': 20.6898023, 'lng': -105.27728}, 'viewport': {'northeast': {'lat': 20.6912394802915, 'lng': -105.2759902697085}, 'southwest': {'lat': 20.6885415197085, 'lng': -105.2786882302915}}}",Pozole,ChIJdbFx-TxHIYQRDJDMm8D7mSM,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Calle Niños Heroes 72, Costa Coral, Las Jarretaderas",,restaurant
5,OPERATIONAL,"{'location': {'lat': 20.6931104, 'lng': -105.274536}, 'viewport': {'northeast': {'lat': 20.6944311802915, 'lng': -105.2731764197085}, 'southwest': {'lat': 20.6917332197085, 'lng': -105.2758743802915}}}",BLUE TARP RESTAURANT - MAGO,ChIJsSQDhrlHIYQRBlq2Z9h6zsU,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,Jarretaderas,,restaurant
6,OPERATIONAL,"{'location': {'lat': 20.6921476, 'lng': -105.2733732}, 'viewport': {'northeast': {'lat': 20.6934698802915, 'lng': -105.2720782697085}, 'southwest': {'lat': 20.6907719197085, 'lng': -105.2747762302915}}}",Menuderia doña cuca,ChIJOet8NYJGIYQR-pCCv3wGmZY,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",6.0,"Calle Lopez Mateos 75, Las Jarretaderas",,restaurant
7,OPERATIONAL,"{'location': {'lat': 20.6891107, 'lng': -105.2740624}, 'viewport': {'northeast': {'lat': 20.6904634302915, 'lng': -105.2727293697085}, 'southwest': {'lat': 20.6877654697085, 'lng': -105.2754273302915}}}",Fonda La Casa De Los Abuelos,ChIJJejZZSVFIYQRWg7Wfn0HlM0,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Calle Lopez Mateos 35, Costa Coral, Las Jarretaderas",,restaurant
8,OPERATIONAL,"{'location': {'lat': 20.6904296, 'lng': -105.2731472}, 'viewport': {'northeast': {'lat': 20.6917674302915, 'lng': -105.2717581697085}, 'southwest': {'lat': 20.6890694697085, 'lng': -105.2744561302915}}}",Carnitas el gordo,ChIJJduPY9VHIYQRdaGfYh1GMHo,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,"Jarretaderas, Avenida Mexico, Mezcales",,restaurant
9,OPERATIONAL,"{'location': {'lat': 20.6914779, 'lng': -105.2784714}, 'viewport': {'northeast': {'lat': 20.6928144802915, 'lng': -105.2771224197085}, 'southwest': {'lat': 20.6901165197085, 'lng': -105.2798203802915}}}",Hamburguesas Y Burritos (La Esquina),ChIJb9yyzAtHIYQRld2ZOgJIQx8,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",12.0,"Prolongacion Independencia #220, Las Jarretaderas",,restaurant
